Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Benartefa],Price [Benartefa],In stock [Benartefa],Low stock [Benartefa]
187299-ERASER-SMLL-BLCK,31030,187299-ERASER-SMLL-BLCK,atk,,N,,,,,,,2800,M000029979,,,Y,Y,3100,36.000,
A5-W/O-EXCL-40S,32028,A5-W/O-EXCL-40S,atk,,N,,,,,,,8500,M0009352,,,Y,Y,9400,2.000,
abc-bt-r6-biru,80001,ABC-BT-R6-BIRU,Elektronik,,N,,,,,,,11000,L0001325,,,Y,Y,11500,5.000,0.000
ABC-KCP-135-MANIS,16001,ABC-KCP-135-MANIS,food,,N,,,,,,,7355,711844110113,,,Y,Y,8000,2.000,
ABC-SARDINES-155-CHILI,18001,ABC-SARDINES-155-CHILI,food,,N,,,,,,,9095,711844330108,,,Y,Y,10000,8.000,
ABC-SARDINES-155-EXT-PDS,18002,ABC-SARDINES-155-EXT-PDS,food,,N,,,,,,,9095,711844330146,,,Y,Y,10000,0.000,
ABC-SARDINES-155-TOMAT,18003,ABC-SARDINES-155-TOMAT,food,,N,,,,,,,9385,711844330009,,,Y,Y,10200,11.000,
ABC-SARDINES-425-CHILI,18004,ABC-SARDINES-425-CHILI,food,,N,,,,,,,21200,711844330115,,,Y,Y,22900,7.000,
ABC-SARDINES-425-EXTRA-PDS,18005,ABC-SARDINES-425-EXTRA-PDS,food,,N,,,,,,,21200,711844330153,,,Y,Y,22900,8.000,
ABC-SARDINES-425-TOMAT,18006,ABC-SARDINES-425-TOMAT,food,,N,,,,,,,21200,711844330016,,,Y,Y,22900,7.000,
AGARASA-6S-COKLAT,11301,AGARASA-6S-COKLAT,food,,N,,,,,,,4405,8992933424218,,,Y,Y,4800,11.000,
AGARASA-6S-MELON,11302,AGARASA-6S-MELON,food,,N,,,,,,,3565,8992933423217,,,Y,Y,4000,9.000,
AGARASA-6S-STRAWBERY,11303,AGARASA-6S-STRAWBERY,food,,N,,,,,,,3740,8992933422214,,,Y,Y,4000,9.000,
AMP.MPT-VST-80,33001,AMP.MPT-VST-80,atk,,N,,,,,,,9100,M0009358,,,Y,Y,10000,1.000,
AQUA-AM-1500-ML,11716,AQUA-AM-1500-ML,food,,N,,,,,,,4670,8886008101091,,,Y,Y,4900,46.000,
AQUA-AM-330,11701,AQUA-AM-330,food,,N,,,,,,,1750,8886008101336,,,Y,Y,1900,58.000,
AQUA-AM-600-ML,11702,AQUA-AM-600-ML,food,,N,,,,,,,2460,8886008101053,,,Y,Y,2600,92.000,
ASEPSO+REGULER-RED-80,41001,ASEPSO+REGULER-RED-80,Non food,,N,,,,,,,7715,7640129890040,,,Y,Y,8400,5.000,
ASTRA-KPS-40,23002,ASTRA-KPS-40,Non food,,N,,,,,,,3725,8991038100409,,,Y,Y,4200,3.000,
ASTRA-KPS-60,23001,ASTRA-KPS-60,Non food,,N,,,,,,,5425,8991038100607,,,Y,Y,6000,3.000,
ATTACK-1200-SOFTENER/ATSNP,22201,ATTACK-1200-SOFTENER/ATSNP,Non food,,N,,,,,,,35560,8992727005487,,,Y,Y,39500,2.000,
ATTACK-40-G-SOFTENER/ATSNP,22202,ATTACK-40-G-SOFTENER/ATSNP,Non food,,N,,,,,,,815,8992727002844,,,Y,Y,1000,13.000,
ATTACK-450-SOFTENER/ATSNP,22203,ATTACK-450-SOFTENER/ATSNP,Non food,,N,,,,,,,12915,8992727002462,,,Y,Y,14400,2.000,
ATTACK-800-HYGIENE-PLUS-PROTECTION,22204,ATTACK-800-HYGIENE-PLUS-PROTECTION,Non food,,N,,,,,,,25230,8992727000314,,,Y,Y,28000,3.000,
ATTACK-800-PLUS-VIOLET-PERFUME,22205,ATTACK-800-PLUS-VIOLET-PERFUME,Non food,,N,,,,,,,25230,8992727001489,,,Y,Y,28000,2.000,
ATTACK-800-SOFTENER/ATSNP,22206,ATTACK-800-SOFTENER/ATSNP,Non food,,N,,,,,,,25230,8992727002479,,,Y,Y,28000,3.000,
ATTACK-DET-800-SENSOR-MATIC,22207,ATTACK-DET-800-SENSOR-MATIC,Non food,,N,,,,,,,31760,8992727008631,,,Y,Y,35300,2.000,
ATTACK-EASY-700-PURPLE-BLOSSOM,22208,ATTACK-EASY-700-PURPLE-BLOSSOM,Non food,,N,,,,,,,19420,8992727003070,,,Y,Y,21600,1.000,
ATTACK-EASY-700-ROMANTIC-FLOWER/SPARKLING-BLOOMING,22209,ATTACK-EASY-700-ROMANTIC-FLOWER/SPARKLING-BLOOMING,Non food,,N,,,,,,,19420,8992727003803,,,Y,Y,21600,2.000,
ATTACK-EASY-LIQ-42-PURPLE-BLOS-SWEET-GLAM,22127,ATTACK-EASY-LIQ-42-PURPLE-BLOS-SWEET-GLAM,Non food,,N,,,,,,,4870,8992727005876,,,Y,Y,5500,0.000,
ATTACK-EASY-LIQ-42-RMT-FLWR/SPARKLING-BLOOM,22126,ATTACK-EASY-LIQ-42-RMT-FLWR/SPARKLING-BLOOM,Non food,,N,,,,,,,4870,8992727005845,,,Y,Y,5500,9.000,
ATTACK-EASY-LIQ-750-SPARKL-BLOOM/-RMTC-FL,22121,ATTACK-EASY-LIQ-750-SPARKL-BLOOM/-RMTC-FL,Non food,,N,,,,,,,21005,8992727005852,,,Y,Y,23300,3.000,
ATTACK-EASY-LIQ-800-PURPLE-BLO/SWEET-GLAM,22122,ATTACK-EASY-LIQ-800-PURPLE-BLO/SWEET-GLAM,Non food,,N,,,,,,,21005,8992727005883,,,Y,Y,23300,3.000,
ATTACK-EASY-LIQ-DET-750-LIVELY-ENERGETIC,22112,ATTACK-EASY-LIQ-DET-750-LIVELY-ENERGETIC,Non food,,N,,,,,,,21005,8992727007658,,,Y,Y,23300,5.000,
ATTACK-JAZ-1-250-PESONA-SEGAR,22210,ATTACK-JAZ-1-250-PESONA-SEGAR,Non food,,N,,,,,,,4360,8992727006866,,,Y,Y,4900,0.000,
ATTACK-JAZ-1-250-SEMERBAK-CINTA,22211,ATTACK-JAZ-1-250-SEMERBAK-CINTA,Non food,,N,,,,,,,4360,8992727006859,,,Y,Y,4900,6.000,
ATTACK-JAZ-1-50-SEMERBAK-CINTA,22212,ATTACK-JAZ-1-50-SEMERBAK-CINTA,Non food,,N,,,,,,,815,8992727005272,,,Y,Y,1000,6.000,
AUTAN-LOT-ALL-NIGHT-SACH-FAMILY,22801,AUTAN-LOT-ALL-NIGHT-SACH-FAMILY,Non food,,N,,,,,,,2510,8998899400204,,,Y,Y,2800,5.000,
AUTAN-LOT-SACH-JUNIOR/CARE-PROTEC,22802,AUTAN-LOT-SACH-JUNIOR/CARE-PROTEC,Non food,,N,,,,,,,2510,8998899004242,,,Y,Y,2800,5.000,
AUTAN-LOT-SACH-SAKURA,22803,AUTAN-LOT-SACH-SAKURA,Non food,,N,,,,,,,2510,8998899995946,,,Y,Y,2800,0.000,
AUTAN-LOT-SACH-SS/FLORAL-PROTEC,22804,AUTAN-LOT-SACH-SS/FLORAL-PROTEC,Non food,,N,,,,,,,2510,8998899004105,,,Y,Y,2800,5.000,
AVAIL-DAY-USE/BIRU,21601,AVAIL-DAY-USE/BIRU,Non food,,N,,,,,,,37560,6921434400041,,,Y,Y,41700,1.000,
AVAIL-NIGHT-10S/MERAH,21602,AVAIL-NIGHT-10S/MERAH,Non food,,N,,,,,,,42835,4711542140203,,,Y,Y,47500,1.000,
AVAIL-PANTYLINER/HIJAU,21603,AVAIL-PANTYLINER/HIJAU,Non food,,N,,,,,,,34475,6921434400065,,,Y,Y,38300,1.000,
BANGO-KCP-135-MNS-MINI,16002,BANGO-KCP-135-MNS-MINI,food,,N,,,,,,,8945,8990121011073,,,Y,Y,9700,9.000,
BANGO-KCP-60-MNS,16003,BANGO-KCP-60-MNS,food,,N,,,,,,,2490,8999999514006,,,Y,Y,2700,3.000,
BANGO-KCP-MANIS-19-ML./6PCS,16004,BANGO-KCP-MANIS-19-ML./6PCS,food,,N,,,,,,,4980,8999999533496,,,Y,Y,5400,2.000,
